run_id,model_name,feature_type,epochs,lr,batch_size,optimizer,weight_decay,cnn_conv_layers,cnn_filters,cnn_kernel,cnn_dense_layers,cnn_dense_units,cnn_dropout,fan_hidden,fan_layers,d_p_ratio,fan_activation,mlp_scenario,mlp_init_weight,mlp_dropout,kan_hidden,kan_grid,kan_k,kan_lambda,rbf_units,rbf_type,rbf_width_method,rbf_p_neighbors,rbf_fixed_width,rbf_regularization,accuracy_test,f1_score_test,precision_test,recall_test,accuracy_train,f1_score_train,precision_train,recall_train,inference_time_sec,training_time_sec,cpp_code_size_bytes
32,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,10,7,3,0.01,,,,,,,0.07790697674418605,0.01304710793082886,0.007724252491694352,0.07790697674418605,0.08207217694994179,0.017078034082254064,0.011977659687333778,0.08207217694994179,0.08420931932538055,0.504481315612793,76361
33,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,10,7,5,0.0001,,,,,,,0.06279069767441861,0.044987145988090685,0.07234235828523915,0.06279069767441861,0.07654249126891735,0.0514342405419639,0.06095770410127134,0.07654249126891735,0.0843982036723647,0.5999770164489746,132552
34,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,10,7,5,0.001,,,,,,,0.06162790697674419,0.037377183227513364,0.0497954528811322,0.06162790697674419,0.08672875436554132,0.05264306406941099,0.07862902035134828,0.08672875436554132,0.08501317833745202,0.586158037185669,136498
35,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,10,7,5,0.01,,,,,,,0.07325581395348837,0.04581796969360241,0.1423158125754589,0.07325581395348837,0.09109429569266589,0.056234524835459904,0.06375802373978093,0.09109429569266589,0.0843276722486629,0.6166384220123291,123315
36,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,3,3,0.0001,,,,,,,0.6790697674418604,0.6628746253193197,0.6872945169335424,0.6790697674418604,0.7310826542491269,0.7110811325175493,0.7276613938886283,0.7310826542491269,0.13165292490360347,0.5030012130737305,1083174
37,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,3,3,0.001,,,,,,,0.7104651162790697,0.6866462139634216,0.7174984479062765,0.7104651162790697,0.7261350407450524,0.700909149091513,0.7512312949780133,0.7261350407450524,0.13330685399299444,0.5072808265686035,678717
38,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,3,3,0.01,,,,,,,0.10348837209302325,0.019431361004808165,0.010722310961908113,0.10348837209302325,0.07828870779976717,0.011374378826971303,0.006132691438013211,0.07828870779976717,0.13466714287913123,0.5101931095123291,176516
39,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,3,5,0.0001,,,,,,,0.08255813953488372,0.04205904693745797,0.05746294213519445,0.08255813953488372,0.09691501746216531,0.06497741072736751,0.11794428438288741,0.09691501746216531,0.13474145490069722,0.6056094169616699,431172
40,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,3,5,0.001,,,,,,,0.12093023255813953,0.059700294625176016,0.0759617714131178,0.12093023255813953,0.11786961583236322,0.05822959752127451,0.1062417388755375,0.11786961583236322,0.13400969893433326,0.6031253337860107,402037
41,KAN,mfcc,100,0.001,32,Adam,1e-5,,,,,,,,,,,,,,15,3,5,0.01,,,,,,,0.08023255813953488,0.02889414796298157,0.023673233132822193,0.08023255813953488,0.08643771827706635,0.03745587502280855,0.059339202146304774,0.08643771827706635,0.13178472879321076,0.5825357437133789,274495
