run_id,model_name,feature_type,epochs,lr,batch_size,optimizer,weight_decay,cnn_conv_layers,cnn_filters,cnn_kernel,cnn_dense_layers,cnn_dense_units,cnn_dropout,fan_hidden,fan_layers,d_p_ratio,fan_activation,mlp_scenario,mlp_init_weight,mlp_dropout,kan_hidden,kan_grid,kan_k,kan_lambda,rbf_units,rbf_type,rbf_width_method,rbf_p_neighbors,rbf_fixed_width,rbf_regularization,accuracy_test,f1_score_test,precision_test,recall_test,accuracy_train,f1_score_train,precision_train,recall_train,inference_time_sec,training_time_sec,cpp_code_size_bytes
56,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,3,GlorotUniform,0.5,,,,,,,,,,,0.07790697674418605,0.011261634178771228,0.006069497025419146,0.07790697674418605,0.08469150174621654,0.013225235850898315,0.007172650468029397,0.08469150174621654,6.9424163463503815e-06,5.562269687652588,568684
57,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,3,HeNormal,0.0,,,,,,,,,,,0.07441860465116279,0.010309070774187053,0.005538128718226068,0.07441860465116279,0.08556461001164144,0.013488469353041599,0.00732130248644429,0.08556461001164144,6.969862206037654e-06,5.177492618560791,566615
58,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,3,HeNormal,0.2,,,,,,,,,,,0.07441860465116279,0.010309070774187053,0.005538128718226068,0.07441860465116279,0.08556461001164144,0.013488469353041599,0.00732130248644429,0.08556461001164144,7.007011147432549e-06,5.55182671546936,564830
59,MLP,mfcc,100,0.001,32,adam,1e-5,,,,,,,,,,,3,HeNormal,0.5,,,,,,,,,,,0.08953488372093023,0.01471544513663101,0.008016495402920498,0.08953488372093023,0.08178114086146682,0.012365079678273973,0.006688155000603078,0.08178114086146682,7.023645001788472e-06,4.987457990646362,566092
60,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,HeNormal,0.0,,,,,,,,,,,0.9430232558139535,0.9431936631312523,0.944177555291315,0.9430232558139535,0.9764260768335273,0.9764725972985376,0.9767307155657438,0.9764260768335273,3.825786501862282e-07,0.6307930946350098,46791
61,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,HeNormal,0.2,,,,,,,,,,,0.9604651162790697,0.9603897196840128,0.9606525640438461,0.9604651162790697,0.9869033760186263,0.9869003313170098,0.9869416641086626,0.9869033760186263,2.980232238769531e-07,0.6359279155731201,47198
62,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,HeNormal,0.5,,,,,,,,,,,0.9476744186046512,0.9477681017716627,0.9487783869808835,0.9476744186046512,0.9822467986030268,0.98228656091059,0.9824289325017621,0.9822467986030268,4.15014666180278e-07,0.6318910121917725,46859
63,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,RandomNormal,0.0,,,,,,,,,,,0.5174418604651163,0.5004415495888034,0.4957607178243037,0.5174418604651163,0.5928405122235157,0.5730354908395876,0.5685395417300385,0.5928405122235157,2.9857768568881724e-07,0.6364107131958008,45856
64,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,RandomNormal,0.2,,,,,,,,,,,0.45465116279069767,0.44403401938241005,0.44857341328694905,0.45465116279069767,0.530267753201397,0.5196958103899875,0.5221466926462579,0.530267753201397,2.7445859687272894e-07,0.6341071128845215,45820
65,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,RandomNormal,0.5,,,,,,,,,,,0.3674418604651163,0.34612812600934967,0.3484036507512305,0.3674418604651163,0.4161816065192084,0.3944126550554895,0.399472478303039,0.4161816065192084,2.8527060220407885e-07,0.6384696960449219,45805
66,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,RandomUniform,0.0,,,,,,,,,,,0.6569767441860465,0.6519741466053784,0.660365562867851,0.6569767441860465,0.7243888242142026,0.7189688704822601,0.7250310668822179,0.7243888242142026,2.8194383133289424e-07,0.6286823749542236,45933
67,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,RandomUniform,0.2,,,,,,,,,,,0.6779069767441861,0.674841461852247,0.6803515482985301,0.6779069767441861,0.7435972060535506,0.7412418741167046,0.7459773613891814,0.7435972060535506,3.692715667014898e-07,0.6323525905609131,45828
68,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,RandomUniform,0.5,,,,,,,,,,,0.7453488372093023,0.741237145801248,0.7452617591236349,0.7453488372093023,0.8218859138533178,0.8202151694206403,0.8211634237690816,0.8218859138533178,3.5041986509811047e-07,0.6334173679351807,45951
69,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,GlorotUniform,0.0,,,,,,,,,,,0.9441860465116279,0.9442274056154996,0.9448137282569433,0.9441860465116279,0.9775902211874272,0.9776029745844647,0.9776852569191635,0.9775902211874272,3.7647957025572313e-07,0.6435272693634033,46938
70,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,GlorotUniform,0.2,,,,,,,,,,,0.9441860465116279,0.944122986022447,0.9442975599369939,0.9441860465116279,0.9790454016298021,0.9790479241310384,0.979078304260438,0.9790454016298021,3.5984571589980014e-07,0.6338820457458496,46602
71,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,GlorotUniform,0.5,,,,,,,,,,,0.9476744186046512,0.9477650197086992,0.9486393875840534,0.9476744186046512,0.9805005820721769,0.9805418495334601,0.9806903896580803,0.9805005820721769,3.296275471532068e-07,0.6347849369049072,46826
72,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,HeNormal,0.0,,,,,,,,,,,0.9406976744186046,0.9408978588237663,0.9417632127055978,0.9406976744186046,0.9839930151338766,0.9840480357355372,0.9842263575014696,0.9839930151338766,3.742617230082667e-07,0.6442179679870605,46866
73,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,HeNormal,0.2,,,,,,,,,,,0.9476744186046512,0.9478153378164411,0.949356659620695,0.9476744186046512,0.9834109429569267,0.9834171542817345,0.9835063938182519,0.9834109429569267,4.3164852053620093e-07,0.6292273998260498,46863
74,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,0,HeNormal,0.5,,,,,,,,,,,0.9534883720930233,0.953645206384489,0.9543003796747486,0.9534883720930233,0.9834109429569267,0.9834327463959233,0.9835108876781246,0.9834109429569267,3.271324689998183e-07,0.6295032501220703,47064
75,MLP,mfcc,100,0.001,32,sgd,1e-5,,,,,,,,,,,1,HeNormal,0.0,,,,,,,,,,,0.28837209302325584,0.209411942014643,0.23988429398136785,0.28837209302325584,0.3224679860302678,0.2382141245535279,0.3239126356942643,0.3224679860302678,3.47924786944722e-07,0.9930262565612793,96330
